CdStationMesureEauxSurface;LbStationMesureEauxSurface;DtAnaTemp;HrAnaTemp;CdParametre;LbLongParamètre;CdFractionAnalysee;LbFractionAnalysee;RsAneTemp;CdUniteMesure;SymUniteMesure;CdStatutAnaTemp;MnemoStatutAna;CdQualAna;LbQualAna;INTProd;NomProducteur;INTGest;NomGest
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;01/01/2014;00:00:00;1301;Température de l'Eau;23;Eau brute;6.0510001182556197;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;01/01/2014;01:00:00;1301;Température de l'Eau;23;Eau brute;6.02600002288818;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;01/01/2014;02:00:00;1301;Température de l'Eau;23;Eau brute;6;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;01/01/2014;03:00:00;1301;Température de l'Eau;23;Eau brute;6;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;01/01/2014;04:00:00;1301;Température de l'Eau;23;Eau brute;6;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;01/01/2014;05:00:00;1301;Température de l'Eau;23;Eau brute;6;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;01/01/2014;06:00:00;1301;Température de l'Eau;23;Eau brute;6.02600002288818;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;01/01/2014;07:00:00;1301;Température de l'Eau;23;Eau brute;6.0510001182556197;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;01/01/2014;08:00:00;1301;Température de l'Eau;23;Eau brute;6.0510001182556197;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
6051550;ARDIERES A ST-JEAN-D'ARDIERES 1;01/01/2014;09:00:00;1301;Température de l'Eau;23;Eau brute;6;27;°C;NA;NA;4;Non qualifié;NA;NA;NA;NA
